name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Yamato 82122,29316,Valid,H6,1521.8,Found,1/1/82 00:00,-71.5,35.66667
Qidong,18907,Valid,L/LL5,1275,Fell,1/1/82 00:00,32.08333,121.5
Yamato 82187,29381,Valid,L6,1238.83,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82177,29371,Valid,H6,1122.64,Found,1/1/82 00:00,-71.5,35.66667
Thiel Mountains 82405,23917,Valid,H6,1115.7,Found,1/1/82 00:00,-85.25,-91
Naiman,16896,Valid,L6,1050,Found,1/1/82 00:00,42.83333,120.66667
Elephant Moraine 82606,7831,Valid,L6,981.9,Found,1/1/82 00:00,-76.29139,157.20861
Yamato 82055,29249,Valid,L3.6,946.75,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82081,29275,Valid,L6,939.27,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82056,29250,Valid,L3.6,913.79,Found,1/1/82 00:00,-71.5,35.66667
Taylor Glacier 82700,23890,Valid,L4,892.1,Found,1/1/82 00:00,-77.73333,162.16667
Pecora Escarpment 82502,18265,Valid,Eucrite-unbr,890.4,Found,1/1/82 00:00,-85.63333,-68.7
Yamato 82178,29372,Valid,L6,884.6,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82161,29355,Valid,H6,757.56,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82095,29289,Valid,L3.6,710.18,Found,1/1/82 00:00,-71.5,35.66667
Yamato 82082,29276,Valid,Eucrite-pmict,662.28,Found,1/1/82 00:00,-71.5,35.66667
Elephant Moraine 82605,7830,Valid,L6,624.6,Found,1/1/82 00:00,-76.29139,157.20917
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1/1/83 00:00,24.23333,111.18333
Kidairat,12300,Valid,H6,100000,Fell,1/1/83 00:00,14,28
Rahimyar Khan,31302,Valid,L5,67225,Fell,1/1/83 00:00,28.225,70.2
Julesburg,12208,Valid,L3.6,57900,Found,1/1/83 00:00,39.975,-102.26667
Richfield,22600,Valid,LL3.7,40800,Found,1/1/83 00:00,37.22222,-101.68139
Great Bend,11180,Valid,H6,28770,Found,1/1/83 00:00,38.395,-98.91583
Sharon Springs,23524,Valid,L6,23400,Found,1/1/83 00:00,38.77083,-101.79833
Flandreau,10109,Valid,H5,21360,Found,1/1/83 00:00,44.04833,-96.59167
Carichic,5270,Valid,H5,17000,Found,1/1/83 00:00,27.93333,-107.05
Snyder,23657,Valid,H3,16900,Found,1/1/83 00:00,32.71667,-100.91667
Patricia,18115,Valid,H5,14900,Found,1/1/83 00:00,32.5,-102.03333
El Bahrain,7790,Valid,L6,14000,Found,1/1/83 00:00,28.6,26.4
San Borjita,23118,Valid,L4,12300,Found,1/1/83 00:00,-27.55861,-56.13444
Grayton,11177,Valid,H5,11300,Found,1/1/83 00:00,30.31167,-86.16667
Ivanovka,12061,Valid,H5,8870,Found,1/1/83 00:00,54.5,52.8
Gaylord,10868,Valid,H4,8480,Found,1/1/83 00:00,39.61667,-98.7
Sappa,23175,Valid,L6,5950,Found,1/1/83 00:00,39.84433,-100.51
Ningqiang,16981,Valid,C3-ung,4610,Fell,1/1/83 00:00,32.925,105.90667
Lewiston,14643,Valid,H4,4416,Found,1/1/83 00:00,34.00833,-103.60278
Waverly,24224,Valid,"Iron, IAB-an",4400,Found,1/1/83 00:00,32.68333,-85.56667
Edmond,7767,Valid,H6,4000,Found,1/1/83 00:00,39.76667,-99.91667
Tabbita,23775,Valid,L6,3100,Found,1/1/83 00:00,-34.05,145.83333
Allan Hills 83100,595,Valid,CM1/2,3019,Found,1/1/83 00:00,-76.71667,159.66667
Villa Coronado,24177,Valid,H5,2900,Found,1/1/83 00:00,26.75,-105.25
Elephant Moraine 83213,7855,Valid,LL3.7,2727,Found,1/1/83 00:00,-76.28278,157.23195
Inland Forts 83500,12035,Valid,"Iron, ungrouped",2523,Found,1/1/83 00:00,-77.63333,161
Walcott,24201,Valid,H5,2000,Found,1/1/83 00:00,32.4,-101.95
Elephant Moraine 83227,7869,Valid,Eucrite-pmict,1973,Found,1/1/83 00:00,-76.3,157.27306
Ozernoe,18065,Valid,L6,1830,Found,1/1/83 00:00,54.9,62.8
Burkhala,5171,Valid,"Iron, IAB-ung",1825,Found,1/1/83 00:00,63.8,149
Allan Hills 83102,597,Valid,CM2,1786.2,Found,1/1/83 00:00,-77.04164,157.15458
Allan Hills 83001,521,Valid,L4,1568.6,Found,1/1/83 00:00,-76.72109,158.73715
Allan Hills 83108,603,Valid,CO3.5,1519.4,Found,1/1/83 00:00,-77.04639,157.07722
Maryville,15436,Valid,L6,1443,Fell,1/1/83 00:00,35.8,-84.1
Elephant Moraine 83214,7856,Valid,L6,1397.5,Found,1/1/83 00:00,-76.28611,157.24472
Elephant Moraine 83207,7849,Valid,H4,1238.3,Found,1/1/83 00:00,-76.26889,157.1725
Elephant Moraine 83202,7844,Valid,L5-6,1213.2,Found,1/1/83 00:00,-76.29944,157.21694
Elephant Moraine 83228,7870,Valid,Eucrite-pmict,1206,Found,1/1/83 00:00,-76.28528,157.23889
Elephant Moraine 83201,7843,Valid,H6,1059.8,Found,1/1/83 00:00,-76.295,157.28833
Elephant Moraine 83237,7878,Valid,L6,882.7,Found,1/1/83 00:00,-76.2975,157.23389
Allan Hills 83004,524,Valid,L6,813.9,Found,1/1/83 00:00,-76.81849,158.15713
Techado,23892,Valid,"Iron, IIE",810,Found,1/1/83 00:00,34.53333,-108.35
Elephant Moraine 83216,7858,Valid,L6,789.9,Found,1/1/83 00:00,-76.31944,157.19139
Elephant Moraine 83200,7842,Valid,H5,778.8,Found,1/1/83 00:00,-76.30111,157.18333
Allan Hills 83101,596,Valid,L6,639.2,Found,1/1/83 00:00,-76.98533,156.87608
Torreon de Mata,24031,Valid,L6,610,Found,1/1/83 00:00,26.83333,-105.41667
Owasco,18060,Valid,L6,168400,Found,1/1/84 00:00,41.2,-103.68333
Gujba,11449,Valid,CBa,100000,Fell,1/1/84 00:00,11.49167,11.65833
Gan Gan,10852,Valid,"Iron, IVA",83000,Found,1/1/84 00:00,-42.66667,-68.08333
Mafuta,15384,Valid,"Iron, IID",71500,Found,1/1/84 00:00,-16.9025,30.40722
Quijingue,22362,Valid,"Pallasite, PMG",59000,Found,1/1/84 00:00,-10.75,-39.21667
Zhaodong,30404,Valid,L4,42000,Fell,1/1/84 00:00,45.81667,125.91667
Macy,15378,Valid,L6,42000,Found,1/1/84 00:00,34.21667,-103.91667
Jumapalo,12209,Valid,L6,32490,Fell,1/1/84 00:00,-7.71667,111.2
Camel Donga,5204,Valid,Eucrite-mmict,25000,Found,1/1/84 00:00,-30.31667,126.61667
Twannberg,24088,Valid,"Iron, IIG",20689,Found,1/1/84 00:00,47.12444,7.17889
Allan Hills 84006,609,Valid,H4/5,16000,Found,1/1/84 00:00,-76.76228,158.77438
Zaoyang,30391,Valid,H5,14250,Fell,1/1/84 00:00,32.3,112.75
Allan Hills 84005,608,Valid,L5,12000,Found,1/1/84 00:00,-76.89102,156.89321
Darinskoe,6602,Valid,"Iron, IIC",11200,Found,1/1/84 00:00,51.41667,51.96667
Allan Hills 84004,607,Valid,H4,9000,Found,1/1/84 00:00,-76.73156,158.67942
Allan Hills 84002,605,Valid,L6,7554,Found,1/1/84 00:00,-76.74254,158.82886
Millrose,16686,Valid,L6,7464,Found,1/1/84 00:00,-26.33333,121
Allan Hills 84055,657,Valid,H5,6900.5,Found,1/1/84 00:00,-76.72944,158.74157
Yamato 8435,29482,Valid,L6,6748,Found,1/1/84 00:00,-71.5,35.66667
Oliver,18014,Valid,L6,6690,Found,1/1/84 00:00,41.2,-103.68333
Lemmon,12762,Valid,H5,6680,Found,1/1/84 00:00,45.93333,-102.18333
Gashua,44882,Valid,L6,4162,Fell,1/1/84 00:00,12.85,11.03333
Allan Hills 84070,672,Valid,L6,3951.7,Found,1/1/84 00:00,-76.90824,156.8802
Allan Hills 84003,606,Valid,H5,3088.7,Found,1/1/84 00:00,-76.73217,158.6696
Kybo 001,12387,Valid,LL5,2492.7,Found,1/1/84 00:00,-31.18333,126.41667
Allan Hills 84056,658,Valid,L6,2140.3,Found,1/1/84 00:00,-76.71667,159.66667
Allan Hills 84058,660,Valid,L6,2002.5,Found,1/1/84 00:00,-77.02175,156.99984
Allan Hills 84001,604,Valid,Martian (OPX),1930.9,Found,1/1/84 00:00,-76.92031,156.77355
Allan Hills 84064,666,Valid,H5,1889.1,Found,1/1/84 00:00,-76.91491,156.9387
Allan Hills 84065,667,Valid,L6,1641.7,Found,1/1/84 00:00,-76.89909,156.83414
Claxton,5374,Valid,L6,1455,Fell,1/1/84 00:00,32.1025,-81.87278
Yamato 8410,29457,Valid,L5,1427.07,Found,1/1/84 00:00,-71.5,35.66667
Allan Hills 84069,671,Valid,H5,1136.3,Found,1/1/84 00:00,-76.75137,158.84018
Allan Hills 84068,670,Valid,H5,1114.1,Found,1/1/84 00:00,-76.92766,156.94055
Allan Hills 84062,664,Valid,L6,958.2,Found,1/1/84 00:00,-76.92062,156.8752
Frontier Mountain 84001,10363,Valid,L6,942,Found,1/1/84 00:00,-72.95488,160.47328
Allan Hills 84059,661,Valid,H4,856.9,Found,1/1/84 00:00,-76.76988,158.80378
Allan Hills 84071,673,Valid,H6,797.7,Found,1/1/84 00:00,-76.71667,159.66667
Allan Hills 84075,677,Valid,H5,788.6,Found,1/1/84 00:00,-76.72144,158.76413
Allan Hills 84063,665,Valid,L5,759.6,Found,1/1/84 00:00,-76.98268,156.9338
Allan Hills 84074,676,Valid,H5,757.5,Found,1/1/84 00:00,-77.02126,156.98388
Allan Hills 84079,681,Valid,L6,749.6,Found,1/1/84 00:00,-76.90892,156.87924
Allan Hills 84028,630,Valid,CV3,735.9,Found,1/1/84 00:00,-76.77066,158.8921
Allan Hills 84072,674,Valid,L6,720.9,Found,1/1/84 00:00,-76.83571,158.26384
Allan Hills 84007,610,Valid,Aubrite,705.6,Found,1/1/84 00:00,-76.87783,158.50193
Allan Hills 84061,663,Valid,L6,676.4,Found,1/1/84 00:00,-76.99289,156.95507
Taiban (b),23786,Valid,LL6,641,Found,1/1/84 00:00,34.45,-104.01667
Allan Hills 84073,675,Valid,H5,630.6,Found,1/1/84 00:00,-76.91608,156.97014
Allan Hills 84081,683,Valid,LL6,612.3,Found,1/1/84 00:00,-76.92365,156.95124
Lewis Cliff 85320,12790,Valid,H5,110224,Found,1/1/85 00:00,-84.26223,161.41628
La Criolla,12396,Valid,L6,45000,Fell,1/1/85 00:00,-31.23333,-58.16667
Lewis Cliff 85319,12789,Valid,H5,11491,Found,1/1/85 00:00,-84.26398,161.39532
Aldama (a),459,Valid,"Iron, IIIAB",11000,Found,1/1/85 00:00,28.83333,-105.86667
Oxford,18063,Valid,H5,6000,Found,1/1/85 00:00,40.16667,-99.66667
Griffith,11204,Valid,"Iron, ungrouped",6000,Found,1/1/85 00:00,33.71667,-102.81667
Sverdlovsk,23769,Valid,H4/5,4500,Found,1/1/85 00:00,57,62.7
Grosvenor Mountains 85213,11222,Valid,L6,4364.4,Found,1/1/85 00:00,-85.66667,175
Sunray,23746,Valid,H4,4300,Found,1/1/85 00:00,36,-101.83333
Wells,24242,Valid,LL3.3,4135,Found,1/1/85 00:00,33.05,-101.93333
Grosvenor Mountains 85200,11209,Valid,H5,3821.6,Found,1/1/85 00:00,-85.66667,175
Grosvenor Mountains 85206,11215,Valid,H5,2420.1,Found,1/1/85 00:00,-85.66667,175
Geologists Range 85700,10872,Valid,L6,2409,Found,1/1/85 00:00,-82.5,155.5
Grosvenor Mountains 85207,11216,Valid,L6,2372.1,Found,1/1/85 00:00,-85.66667,175
Allan Hills 85017,883,Valid,L6,2361.4,Found,1/1/85 00:00,-76.9033,156.75663
Chaunskij,5333,Valid,Mesosiderite-an,1990,Found,1/1/85 00:00,69.1,172.6
Grosvenor Mountains 85204,11213,Valid,L6,1754.7,Found,1/1/85 00:00,-85.66667,175
Grosvenor Mountains 85203,11212,Valid,H5,1450.4,Found,1/1/85 00:00,-85.66667,175
Allan Hills 85016,882,Valid,L6,1412,Found,1/1/85 00:00,-76.99984,156.95922
Grosvenor Mountains 85201,11210,Valid,"Iron, IIIAB",1400.7,Found,1/1/85 00:00,-85.66667,175
Grosvenor Mountains 85208,11217,Valid,L6,1356.9,Found,1/1/85 00:00,-85.66667,175
Grosvenor Mountains 85209,11218,Valid,L6,1126.1,Found,1/1/85 00:00,-85.66667,175
Lavras do Sul,52092,Valid,L5,1000,Found,1/1/85 00:00,-30.8,-53.9
Grosvenor Mountains 85205,11214,Valid,L6,999.9,Found,1/1/85 00:00,-85.66667,175
Allan Hills 85022,888,Valid,L6,951.5,Found,1/1/85 00:00,-76.84391,156.36709
Lewis Cliff 85323,12793,Valid,L6,874.4,Found,1/1/85 00:00,-84.28333,161.08333
Allan Hills 85026,892,Valid,L6,817.1,Found,1/1/85 00:00,-76.85858,156.26751
Allan Hills 85018,884,Valid,H6,811.8,Found,1/1/85 00:00,-76.88268,156.49194
Allan Hills 85020,886,Valid,H6,744.3,Found,1/1/85 00:00,-76.90701,156.78603
Dominion Range 85503,7698,Valid,L6,719.7,Found,1/1/85 00:00,-85.33333,166.5
Allan Hills 85025,891,Valid,H5,713,Found,1/1/85 00:00,-76.85539,156.47991
Allan Hills 85021,887,Valid,H5,646.8,Found,1/1/85 00:00,-76.85498,156.46606
Allan Hills 85019,885,Valid,LL6,632.8,Found,1/1/85 00:00,-76.91508,156.53178
Allan Hills 85030,896,Valid,H6,619.7,Found,1/1/85 00:00,-76.88918,156.51355
Lewis Cliff 85322,12792,Valid,H6,582,Found,1/1/85 00:00,-84.27376,161.37696
Suizhou,23738,Valid,L6,260000,Fell,1/1/86 00:00,31.61667,113.46667
Renfrow,22588,Valid,L6,81600,Found,1/1/86 00:00,36.98667,-97.555
Soledade,23662,Valid,"Iron, IAB-MG",68000,Found,1/1/86 00:00,-29.05,-51.43333
Wuan,24340,Valid,H6,50000,Fell,1/1/86 00:00,36.75,114.25
Daraj 001,6540,Valid,H5,30000,Found,1/1/86 00:00,29.6425,11.73222
Fairview,10070,Valid,"Iron, IIIAB",28800,Found,1/1/86 00:00,34.10139,-102.65
Pampa (c),18085,Valid,L4,25000,Found,1/1/86 00:00,-23.2,-70.43333
Pampa (d),18086,Valid,L5,12800,Found,1/1/86 00:00,-23.2,-70.43333
Kokubunji,12342,Valid,L6,11510,Fell,1/1/86 00:00,34.3,133.95
Raghunathpura,22371,Valid,"Iron, IIAB",10200,Fell,1/1/86 00:00,27.72528,76.465
Pampa (b),18084,Valid,L4/5,10000,Found,1/1/86 00:00,-23.2,-70.43333
Hardesty,11825,Valid,"Iron, IIIAB",8580,Found,1/1/86 00:00,36.57,-101.19
Otinapa,18043,Valid,"Pallasite, PMG",8400,Found,1/1/86 00:00,24.18333,-105.03333
Reid 010,22565,Valid,H6,8220,Found,1/1/86 00:00,-30.32167,128.85
Ocate,48976,Valid,"Iron, IAB-MG",6400,Found,1/1/86 00:00,36.29533,-105.04833
Yamato 86796,30302,Valid,H6,6140,Found,1/1/86 00:00,-71.5,35.66667
Roundsprings,22770,Valid,H5,6000,Found,1/1/86 00:00,39.16667,-98.43333
Yamato 86787,30293,Valid,L6,4771,Found,1/1/86 00:00,-71.5,35.66667
Reid 011,22566,Valid,H3-6,4760,Found,1/1/86 00:00,-30.21667,128.3
Daraj 002,6541,Valid,L4,4000,Found,1/1/86 00:00,29.865,11.69167
Lewis Cliff 86011,12951,Valid,L6,3397.5,Found,1/1/86 00:00,-84.27992,161.61113
Daraj 101,6560,Valid,H5,2800,Found,1/1/86 00:00,29.64778,11.74694
Daraj 011,6550,Valid,H3,2600,Found,1/1/86 00:00,29.50639,11.49861
Sand Creek,23133,Valid,H5,2443,Found,1/1/86 00:00,39.43,-99.995
Daraj 116,6575,Valid,L5/6,2300,Found,1/1/86 00:00,29.50944,11.80611
Tianzhang,23984,Valid,H5,2232,Fell,1/1/86 00:00,32.94667,118.99
Lewis Cliff 86490,13420,Valid,L6,2209.1,Found,1/1/86 00:00,-84.25413,161.35013
Lewis Cliff 86012,12952,Valid,L6,2157.4,Found,1/1/86 00:00,-84.27739,161.63678
Daraj 015,6554,Valid,H4,2100,Found,1/1/86 00:00,29.56306,12.03083
Lewis Cliff 86013,12953,Valid,L6,1812.2,Found,1/1/86 00:00,-84.27678,161.64698
Asuka 8602,2356,Valid,L4,1595,Found,1/1/86 00:00,-72.83333,24.5
Daraj 105,6564,Valid,H5,1539,Found,1/1/86 00:00,29.63139,11.76194
Cook 003,5423,Valid,CK4,1536.9,Found,1/1/86 00:00,-30.31833,129.06333
Queen Alexandra Range 86900,19002,Valid,Mesosiderite,1532.3,Found,1/1/86 00:00,-84.60358,162.45587
Daraj 004,6543,Valid,H5,1470,Found,1/1/86 00:00,29.865,11.69167
Morro la Mina,16752,Valid,H5,1430,Found,1/1/86 00:00,-24.24667,-68.85333
Lanxi,12464,Valid,L6,1282,Fell,1/1/86 00:00,46.24167,126.19611
Daraj 008,6547,Valid,H4,1270,Found,1/1/86 00:00,29.57889,11.74944
Oued el Hadjar,18050,Valid,LL6,1215.5,Fell,1/1/86 00:00,30.18,-6.57717
Nyanga Lake 002,17967,Valid,H4/5,1048.9,Found,1/1/86 00:00,-29.62833,126.32167
Yamato 86051,29557,Valid,H4,889.29,Found,1/1/86 00:00,-71.5,35.66667
Yamato 86720,30226,Valid,C2-ung,858.71,Found,1/1/86 00:00,-71.5,35.66667
New Lynn,16956,Valid,L6,800,Found,1/1/86 00:00,33.17,-101.63833
Lewis Cliff 86015,12955,Valid,H6,780.1,Found,1/1/86 00:00,-84.26049,161.37262
Daraj 102,6561,Valid,H5,777,Found,1/1/86 00:00,29.61778,11.77361
Daraj 107,6566,Valid,L6,770,Found,1/1/86 00:00,29.51139,11.99111
Yamato 86712,30218,Valid,L3.5,723.55,Found,1/1/86 00:00,-71.5,35.66667
Daraj 110,6569,Valid,H4,700,Found,1/1/86 00:00,29.41917,12.125
Lewis Cliff 86017,12957,Valid,H6,687.6,Found,1/1/86 00:00,-84.26459,161.23374
Lewis Cliff 86014,12954,Valid,L4,662.4,Found,1/1/86 00:00,-84.25702,161.3452
Daraj 144,6599,Valid,L6,657,Found,1/1/86 00:00,29.61667,11.75
Yamato 86032,29538,Valid,Lunar (anorth),648.43,Found,1/1/86 00:00,-71.5,35.66667
Yamato 86036,29542,Valid,L5,603.9,Found,1/1/86 00:00,-71.5,35.66667
Yamato 86748,30254,Valid,H5,595.24,Found,1/1/86 00:00,-71.5,35.66667
Daraj 118,6577,Valid,H5,570,Found,1/1/86 00:00,29.58333,11.78333
Asuka 8603,2357,Valid,H4,565.61,Found,1/1/86 00:00,-72.83333,24.5
Ingella Station,12034,Valid,H5,50000,Found,1/1/87 00:00,-25.55,142.78333
Zagora,30387,Valid,"Iron, IAB-ung",50000,Found,1/1/87 00:00,30.36667,-5.85
Sukhoj Liman,23739,Valid,H4/5,48000,Found,1/1/87 00:00,46.4,30.8
Asuka 87251,2608,Valid,LL6,46000,Found,1/1/87 00:00,-72,26
Asuka 87034,2391,Valid,L4,19064.5,Found,1/1/87 00:00,-72,26
Maria da Fí©,15416,Valid,"Iron, IVA",18000,Found,1/1/87 00:00,-22.3,-45.36667
Caddo County,5192,Valid,"Iron, IAB-ung",18000,Found,1/1/87 00:00,35,-98.33333
Laochenzhen,12466,Valid,H5,14250,Fell,1/1/87 00:00,33.13333,115.16667
Elephant Moraine 87538,8088,Valid,L6,11894,Found,1/1/87 00:00,-76.18333,157.16667
Pampa (e),18087,Valid,L6,10000,Found,1/1/87 00:00,-23.2,-70.43333
Elephant Moraine 87500,8051,Valid,Mesosiderite-B,8132,Found,1/1/87 00:00,-76.05029,156.07013
Allan Hills 87900,1038,Valid,L6,8000,Found,1/1/87 00:00,-76.75009,159.34471
Lewis Cliff 87030,13504,Valid,H5,7986.5,Found,1/1/87 00:00,-84.28333,161.08333
Elephant Moraine 87536,8086,Valid,L6,7526.4,Found,1/1/87 00:00,-76.18333,157.16667
Elephant Moraine 87533,8083,Valid,L6,7364.8,Found,1/1/87 00:00,-76.18333,157.16667
Asuka 87308,2665,Valid,H5,6060,Found,1/1/87 00:00,-72,26
Asuka 87272,2629,Valid,Eucrite-mmict,5706,Found,1/1/87 00:00,-72,26
Asuka 87029,2386,Valid,L4,5443.51,Found,1/1/87 00:00,-72,26
Queen Alexandra Range 87401,19004,Valid,L6,4866.2,Found,1/1/87 00:00,-84.41511,163.67432
Elephant Moraine 87501,8052,Valid,Mesosiderite,4403,Found,1/1/87 00:00,-76.04325,156.08694
Lewis Cliff 87029,13503,Valid,H5,4026.6,Found,1/1/87 00:00,-84.28333,161.08333
Elephant Moraine 87537,8087,Valid,H5,3702,Found,1/1/87 00:00,-76.27247,157.15495
Elephant Moraine 87539,8089,Valid,H5,2928.5,Found,1/1/87 00:00,-76.04491,156.06704
Asuka 87337,2694,Valid,L5,2642,Found,1/1/87 00:00,-72,26
Asuka 87010,2367,Valid,L6,2066.83,Found,1/1/87 00:00,-72,26
Elephant Moraine 87546,8096,Valid,H6,2018.2,Found,1/1/87 00:00,-76.18333,157.16667
Elephant Moraine 87502,8053,Valid,L6,1810.1,Found,1/1/87 00:00,-76.28503,156.49716
Elephant Moraine 87543,8093,Valid,H6,1761.9,Found,1/1/87 00:00,-76.18333,157.16667
Elephant Moraine 87503,8054,Valid,Howardite,1734.5,Found,1/1/87 00:00,-76.27468,156.491
Elephant Moraine 87550,8100,Valid,H5,1639.8,Found,1/1/87 00:00,-76.18333,157.16667
Lewis Cliff 87032,13506,Valid,H6,1581.8,Found,1/1/87 00:00,-84.3403,161.40292
Elephant Moraine 87544,8094,Valid,LL4,1499.4,Found,1/1/87 00:00,-76.18333,157.16667
MacAlpine Hills 87304,15247,Valid,L6,1433,Found,1/1/87 00:00,-84.21667,160.5
Lewis Cliff 87031,13505,Valid,H5,1315.1,Found,1/1/87 00:00,-84.34704,161.34955
Elephant Moraine 87554,8104,Valid,L6,1293.5,Found,1/1/87 00:00,-76.2723,156.51413
Asuka 87350,2707,Valid,H5,1268.84,Found,1/1/87 00:00,-72,26
Lewis Cliff 87033,13507,Valid,H5,1264.2,Found,1/1/87 00:00,-84.28333,161.08333
MacAlpine Hills 87305,15248,Valid,L4,1244.2,Found,1/1/87 00:00,-84.21667,160.5
Elephant Moraine 87535,8085,Valid,L6,1230.8,Found,1/1/87 00:00,-76.27512,156.36181
Elephant Moraine 87547,8097,Valid,H6,1223.2,Found,1/1/87 00:00,-76.04544,156.09938
MacAlpine Hills 87306,15249,Valid,L4,1198.7,Found,1/1/87 00:00,-84.21667,160.5
Elephant Moraine 87540,8090,Valid,L6,1172.4,Found,1/1/87 00:00,-76.28432,157.2153
Elephant Moraine 87541,8091,Valid,L6,1161.4,Found,1/1/87 00:00,-75.98619,155.69836
Elephant Moraine 87534,8084,Valid,L5,1155.3,Found,1/1/87 00:00,-76.18333,157.16667
Asuka 87339,2696,Valid,H4,1103.15,Found,1/1/87 00:00,-72,26
MacAlpine Hills 87302,15245,Valid,L4,1094.6,Found,1/1/87 00:00,-84.21667,160.5
Asuka 87008,2365,Valid,L4,1071.86,Found,1/1/87 00:00,-72,26
MacAlpine Hills 87307,15250,Valid,H4,1055.6,Found,1/1/87 00:00,-84.21667,160.5
Asuka 87331,2688,Valid,H5,914.24,Found,1/1/87 00:00,-72,26
Asuka 87128,2485,Valid,H6,909.55,Found,1/1/87 00:00,-72,26
Asuka 87074,2431,Valid,L4,847.07,Found,1/1/87 00:00,-72,26
Asuka 87241,2598,Valid,L6,797.69,Found,1/1/87 00:00,-72,26
MacAlpine Hills 87308,15251,Valid,L6,770.8,Found,1/1/87 00:00,-84.21667,160.5
Asuka 87260,2617,Valid,L6,770.11,Found,1/1/87 00:00,-72,26
Elephant Moraine 87557,8107,Valid,L4,745.3,Found,1/1/87 00:00,-76.18333,157.16667
Lewis Cliff 87034,13508,Valid,H5,734.8,Found,1/1/87 00:00,-84.28333,161.08333
MacAlpine Hills 87309,15252,Valid,L6,684.7,Found,1/1/87 00:00,-84.21667,160.5
Elephant Moraine 87553,8103,Valid,H4,682.2,Found,1/1/87 00:00,-76.18333,157.16667
Greenwell Springs,11195,Valid,LL4,664,Found,1/1/87 00:00,30.51528,-91.01222
Asuka 87319,2676,Valid,L3.1,650.84,Found,1/1/87 00:00,-72,26
Asuka 87334,2691,Valid,H4,637.91,Found,1/1/87 00:00,-72,26
El Carmen,7795,Valid,H6,629,Found,1/1/87 00:00,26.86667,-105.23333
Asuka 87242,2599,Valid,H5,618.53,Found,1/1/87 00:00,-72,26
Elephant Moraine 87542,8092,Valid,Eucrite-br,608.6,Found,1/1/87 00:00,-76.18333,157.16667
Elephant Moraine 87515,8066,Valid,L6,588.1,Found,1/1/87 00:00,-76.05805,156.3874
Elephant Moraine 87559,8109,Valid,L6,584.2,Found,1/1/87 00:00,-76.26578,156.48253
Elephant Moraine 87509,8060,Valid,Eucrite-pmict,583.9,Found,1/1/87 00:00,-76.28513,157.23912
Asuka 87275,2632,Valid,H5,572.32,Found,1/1/87 00:00,-72,26
Asuka 87233,2590,Valid,H4,569.95,Found,1/1/87 00:00,-72,26
Asuka 87165,2522,Valid,L5,568.92,Found,1/1/87 00:00,-72,26
Elephant Moraine 87548,8098,Valid,Eucrite-Mg rich,560.2,Found,1/1/87 00:00,-76.27148,157.20281
Sychevka,23772,Valid,"Iron, IIIAB",65000,Found,1/1/88 00:00,51.125,127.495
Derrick Peak 88017,6668,Valid,"Iron, IIAB",63000,Found,1/1/88 00:00,-80.06667,156.38333
Asuka 881986,4695,Valid,L6,10147,Found,1/1/88 00:00,-72,26
Roosevelt County 102,22757,Valid,L5,8345,Found,1/1/88 00:00,33.995,-103.25
Asuka 881785,4494,Valid,H4,8121,Found,1/1/88 00:00,-72,26
MacAlpine Hills 88108,15272,Valid,H5,6988.4,Found,1/1/88 00:00,-84.21667,160.5
Asuka 881899,4608,Valid,LL3,6567,Found,1/1/88 00:00,-72,26
MacAlpine Hills 88111,15275,Valid,H4,6441.5,Found,1/1/88 00:00,-84.21667,160.5
MacAlpine Hills 88110,15274,Valid,H5,5369.9,Found,1/1/88 00:00,-84.21667,160.5
Ryder Gletcher,22790,Valid,L5,5288,Found,1/1/88 00:00,81.16667,-49
Asuka 881092,3801,Valid,L3,4188,Found,1/1/88 00:00,-72,26
MacAlpine Hills 88109,15273,Valid,L5,4112.1,Found,1/1/88 00:00,-84.21667,160.5
Derrick Peak 88018,6669,Valid,"Iron, IIAB",4000,Found,1/1/88 00:00,-80.06667,156.38333
Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,1/1/88 00:00,-10.05944,33.395
Asuka 882121,4830,Valid,H6,3686,Found,1/1/88 00:00,-72,26
Asuka 882021,4730,Valid,L6,3547,Found,1/1/88 00:00,-72,26
Mount Wegener,16809,Valid,"Iron, IIIAB",3480,Found,1/1/88 00:00,-80.7,-23.58333
Asuka 881073,3782,Valid,H5,3437,Found,1/1/88 00:00,-72,26
Asuka 881976,4685,Valid,H4,3327,Found,1/1/88 00:00,-72,26
Asuka 881832,4541,Valid,LL6,3078.02,Found,1/1/88 00:00,-72,26
Chela,5338,Valid,H4,2936,Fell,1/1/88 00:00,-3.66667,32.5
Asuka 882058,4767,Valid,H4,2902,Found,1/1/88 00:00,-72,26
Lake Machattie,12445,Valid,H5,2600,Found,1/1/88 00:00,-24.83333,139.8
Asuka 881877,4586,Valid,L4,2569,Found,1/1/88 00:00,-72,26
Asuka 882042,4751,Valid,H4,2504,Found,1/1/88 00:00,-72,26
Mount Howe 88403,16778,Valid,"Iron, ungrouped",2480.7,Found,1/1/88 00:00,-87.36667,-149.5
